N,P,X,Cmap,Parents,Children
35,0.1,5,24528,16872,17704
36,0.1,1,47488,30648,31488
36,0.1,2,35880,37216,38072
36,0.1,3,32576,32208,33064
36,0.1,4,71656,55696,56552
36,0.1,5,51360,40584,41440
37,0.1,1,44064,42944,43824
37,0.1,2,44792,32512,33392
37,0.1,3,37584,35824,36704
37,0.1,4,43376,36088,36968
37,0.1,5,40648,25448,26328
38,0.1,1,65112,53368,54272
38,0.1,2,50680,39032,39936
38,0.1,3,31008,26096,27000
38,0.1,4,46760,32168,33072
38,0.1,5,50120,43064,43968
39,0.1,1,55864,45304,46232
39,0.1,2,41720,36784,37712
39,0.1,3,54048,30512,31440
39,0.1,4,67736,47632,48560
39,0.1,5,44736,36472,37400
40,0.1,1,51616,45728,46680
40,0.1,2,48224,48104,49056
40,0.1,3,44624,43944,44896
40,0.1,4,58920,42280,43232
40,0.1,5,35288,22952,23904
41,0.1,1,71528,51944,52920
41,0.1,2,69360,46040,47016
41,0.1,3,49784,31272,32248
41,0.1,4,62872,42504,43480
41,0.1,5,46184,43384,44360
42,0.1,1,40936,32832,33832
42,0.1,2,49688,36912,37912
42,0.1,3,88368,65736,66736
42,0.1,4,60344,45752,46752
42,0.1,5,45288,27888,28888
43,0.1,1,51488,30720,31744
43,0.1,2,66664,42352,43376
43,0.1,3,45952,27752,28776
43,0.1,4,45432,33840,34864
43,0.1,5,64744,39424,40432
44,0.1,1,53232,41936,42984
44,0.1,2,38896,24592,25640
44,0.1,3,78784,51920,52968
44,0.1,4,49512,32216,33264
44,0.1,5,56688,35216,36264
45,0.1,1,80200,58160,59232
45,0.1,2,70808,43680,44752
45,0.1,3,49272,42296,43368
45,0.1,4,39608,29872,30944
45,0.1,5,71880,50560,51632
46,0.1,1,54920,29792,30888
46,0.1,2,71824,45168,46264
46,0.1,3,68048,45480,46576
46,0.1,4,52304,37600,38696
46,0.1,5,50320,38024,39120
47,0.1,1,75080,47024,48144
47,0.1,2,68488,48416,49536
47,0.1,3,61600,52912,54032
47,0.1,4,69968,43600,44720
47,0.1,5,53936,50808,51928
48,0.1,1,61104,42328,43472
48,0.1,2,89080,57792,58936
48,0.1,3,41576,29072,30216
48,0.1,4,78880,42696,43840
48,0.1,5,78128,48112,49256
49,0.1,1,55080,35144,36312
49,0.1,2,48160,42648,43816
49,0.1,3,60152,39408,40576
49,0.1,4,90848,48296,49464
49,0.1,5,69096,48224,49392
50,0.1,1,61408,40752,41944
50,0.1,2,131632,65720,66912
50,0.1,3,85864,52192,53384
50,0.1,4,71888,55600,56792
50,0.1,5,65856,44952,46144
51,0.1,1,88448,47376,48592
51,0.1,2,84936,63888,65104
51,0.1,3,85032,70136,71352
51,0.1,4,76432,53392,54608
51,0.1,5,70464,43488,44704
52,0.1,1,58472,40200,41440
52,0.1,2,101336,57976,59216
52,0.1,3,75448,49480,50720
52,0.1,4,66024,39720,40960
52,0.1,5,79872,47304,48544
53,0.1,1,70456,40576,41840
53,0.1,2,68104,54672,55936
53,0.1,3,67336,40920,42184
53,0.1,4,64448,39024,40288
53,0.1,5,87944,51280,52544
54,0.1,1,75152,42304,43592
54,0.1,2,71912,52960,54248
54,0.1,3,61384,42664,43952
