N,P,X,Filesize,Cachesize
40,0.1,3,20480,19776
40,0.1,4,20480,30072
40,0.1,5,24576,51216
41,0.1,1,20480,18624
41,0.1,2,20480,33352
41,0.1,3,20480,13976
41,0.1,4,24576,36912
41,0.1,5,20480,15800
42,0.1,1,20480,19760
42,0.1,2,20480,42640
42,0.1,3,20480,49736
42,0.1,4,20480,20576
42,0.1,5,20480,49240
43,0.1,1,20480,17888
43,0.1,2,20480,43096
43,0.1,3,20480,15240
43,0.1,4,20480,12064
43,0.1,5,20480,23736
44,0.1,1,20480,30424
44,0.1,2,20480,39904
44,0.1,3,24576,35264
44,0.1,4,20480,17088
44,0.1,5,24576,38984
45,0.1,1,20480,14552
45,0.1,2,24576,22824
45,0.1,3,20480,30648
45,0.1,4,20480,16592
45,0.1,5,20480,16128
46,0.1,1,20480,16376
46,0.1,2,20480,16776
46,0.1,3,20480,13632
46,0.1,4,24576,20888
46,0.1,5,20480,18976
47,0.1,1,24576,48656
47,0.1,2,20480,38656
47,0.1,3,24576,22896
47,0.1,4,20480,20688
47,0.1,5,20480,28560
48,0.1,1,20480,36608
48,0.1,2,20480,47704
48,0.1,3,24576,65120
48,0.1,4,20480,15624
48,0.1,5,20480,16712
49,0.1,1,20480,14456
49,0.1,2,20480,14424
49,0.1,3,20480,24576
49,0.1,4,20480,35720
49,0.1,5,24576,22704
50,0.1,1,20480,44240
50,0.1,2,20480,41904
50,0.1,3,24576,33848
50,0.1,4,20480,18640
50,0.1,5,24576,21512
51,0.1,1,24576,77840
51,0.1,2,20480,43672
51,0.1,3,24576,22440
51,0.1,4,20480,19848
51,0.1,5,20480,28880
52,0.1,1,20480,18248
52,0.1,2,20480,17480
52,0.1,3,24576,21016
52,0.1,4,24576,17888
52,0.1,5,24576,32632
53,0.1,1,24576,21280
53,0.1,2,24576,22352
53,0.1,3,24576,28744
53,0.1,4,24576,19280
53,0.1,5,24576,15384
54,0.1,1,24576,55760
54,0.1,2,24576,20136
54,0.1,3,24576,29120
54,0.1,4,24576,26088
54,0.1,5,24576,65144
55,0.1,1,20480,15472
55,0.1,2,24576,40504
55,0.1,3,28672,25392
55,0.1,4,20480,19168
55,0.1,5,20480,19216
56,0.1,1,20480,17272
56,0.1,2,24576,24072
56,0.1,3,28672,120520
56,0.1,4,24576,27072
56,0.1,5,20480,16376
57,0.1,1,24576,56904
57,0.1,2,24576,20968
57,0.1,3,24576,20080
57,0.1,4,24576,25672
57,0.1,5,20480,46992
58,0.1,1,20480,17168
58,0.1,2,24576,36264
58,0.1,3,24576,61912
58,0.1,4,24576,37576
58,0.1,5,24576,33136
59,0.1,1,24576,76576
59,0.1,2,24576,14000
59,0.1,3,24576,42080
59,0.1,4,24576,19552
59,0.1,5,20480,23976
60,0.1,1,20480,14976
60,0.1,2,24576,20200
60,0.1,3,24576,27840
60,0.1,4,20480,41192
60,0.1,5,24576,24104
61,0.1,1,24576,27392
61,0.1,2,24576,21832
61,0.1,3,24576,25056
61,0.1,4,20480,38112
61,0.1,5,24576,19752
62,0.1,1,24576,22624
62,0.1,2,28672,72512
62,0.1,3,28672,28248
62,0.1,4,28672,35208
62,0.1,5,24576,48984
63,0.1,1,24576,20944
63,0.1,2,24576,45952
63,0.1,3,24576,25208
63,0.1,4,24576,44304
63,0.1,5,24576,21944
64,0.1,1,24576,25408
64,0.1,2,24576,113960
64,0.1,3,24576,22504
64,0.1,4,28672,29312
64,0.1,5,24576,41360
65,0.1,1,28672,51832
65,0.1,2,24576,22472
65,0.1,3,24576,52808
65,0.1,4,28672,24080
65,0.1,5,24576,22520
66,0.1,1,28672,24864
66,0.1,2,24576,32760
66,0.1,3,24576,24728
66,0.1,4,24576,22952
66,0.1,5,24576,22152
67,0.1,1,24576,74880
67,0.1,2,24576,29800
67,0.1,3,24576,29096
67,0.1,4,24576,76576
67,0.1,5,24576,28792
68,0.1,1,24576,38424
68,0.1,2,28672,24168
68,0.1,3,24576,59240
68,0.1,4,24576,46824
68,0.1,5,24576,17408
69,0.1,1,24576,56536
69,0.1,2,24576,25736
69,0.1,3,28672,33832
69,0.1,4,24576,30200
69,0.1,5,24576,24064
70,0.1,1,24576,20400
70,0.1,2,24576,24608
70,0.1,3,24576,31784
70,0.1,4,24576,58696
70,0.1,5,24576,24064
71,0.1,1,24576,54600
71,0.1,2,28672,28984
71,0.1,3,24576,24568
71,0.1,4,24576,65568
71,0.1,5,28672,29136
72,0.1,1,24576,15992
72,0.1,2,24576,62528
72,0.1,3,24576,21984
72,0.1,4,24576,34736
72,0.1,5,28672,38648
73,0.1,1,24576,18640
73,0.1,2,24576,21880
73,0.1,3,28672,23104
73,0.1,4,28672,23056
73,0.1,5,24576,39720
74,0.1,1,24576,48888
74,0.1,2,24576,80544
74,0.1,3,24576,56408
74,0.1,4,32768,61776
74,0.1,5,24576,27512
75,0.1,1,24576,22088
75,0.1,2,28672,25600
75,0.1,3,28672,31552
75,0.1,4,28672,31608
75,0.1,5,32768,28784
76,0.1,1,28672,44800
76,0.1,2,28672,25704
76,0.1,3,28672,28960
76,0.1,4,24576,24864
76,0.1,5,28672,24176
77,0.1,1,32768,42352
77,0.1,2,28672,20040
77,0.1,3,32768,94000
77,0.1,4,28672,42400
77,0.1,5,32768,92104
78,0.1,1,32768,73464
78,0.1,2,24576,51896
78,0.1,3,24576,16168
78,0.1,4,24576,46496
78,0.1,5,32768,29584
79,0.1,1,28672,27696
79,0.1,2,28672,25584
79,0.1,3,28672,30768
79,0.1,4,28672,34416
79,0.1,5,24576,27064
80,0.1,1,28672,78024
80,0.1,2,28672,58368
80,0.1,3,24576,21856
80,0.1,4,24576,22872
80,0.1,5,24576,49632
81,0.1,1,28672,22504
81,0.1,2,28672,27616
81,0.1,3,24576,28656
81,0.1,4,28672,27360
81,0.1,5,24576,31672
82,0.1,1,24576,25088
82,0.1,2,28672,53448
82,0.1,3,28672,21368
82,0.1,4,28672,88224
82,0.1,5,28672,29888
83,0.1,1,28672,27720
83,0.1,2,24576,23120
83,0.1,3,32768,23840
83,0.1,4,28672,72616
83,0.1,5,28672,21400
84,0.1,1,28672,28456
84,0.1,2,28672,22736
84,0.1,3,32768,26504
84,0.1,4,28672,69056
84,0.1,5,28672,20408
85,0.1,1,28672,27952
85,0.1,2,28672,26152
85,0.1,3,28672,25128
85,0.1,4,28672,89112
85,0.1,5,28672,38592
86,0.1,1,28672,69128
86,0.1,2,32768,97600
86,0.1,3,28672,22568
86,0.1,4,28672,26248
86,0.1,5,28672,32112
87,0.1,1,32768,24408
87,0.1,2,32768,28920
87,0.1,3,28672,43672
87,0.1,4,28672,68072
87,0.1,5,28672,31264
88,0.1,1,28672,24992
88,0.1,2,28672,25424
88,0.1,3,28672,27552
88,0.1,4,32768,41560
88,0.1,5,24576,28504
89,0.1,1,32768,23512
89,0.1,2,28672,20784
89,0.1,3,28672,31192
89,0.1,4,32768,67552
89,0.1,5,32768,25080
90,0.1,1,32768,28048
90,0.1,2,32768,62064
90,0.1,3,24576,65968
90,0.1,4,28672,30344
90,0.1,5,28672,26264
91,0.1,1,32768,144704
91,0.1,2,32768,34704
91,0.1,3,32768,53080
91,0.1,4,32768,34128
91,0.1,5,28672,26192
92,0.1,1,36864,33592
92,0.1,2,28672,22968
