N,P,X,History
35,0.2,4,29744
35,0.2,5,31256
36,0.2,1,39256
36,0.2,2,29568
36,0.2,3,35904
36,0.2,4,33200
36,0.2,5,30584
37,0.2,1,24704
37,0.2,2,34240
37,0.2,3,34584
37,0.2,4,33280
37,0.2,5,30056
38,0.2,1,27160
38,0.2,2,31424
38,0.2,3,36736
38,0.2,4,39168
38,0.2,5,35560
39,0.2,1,30104
39,0.2,2,37312
39,0.2,3,42744
39,0.2,4,31608
39,0.2,5,45360
40,0.2,1,31544
40,0.2,2,34560
40,0.2,3,40456
40,0.2,4,33776
40,0.2,5,31456
41,0.2,1,42480
41,0.2,2,35704
41,0.2,3,40040
41,0.2,4,39936
41,0.2,5,33680
42,0.2,1,39312
42,0.2,2,35440
42,0.2,3,36352
42,0.2,4,42944
42,0.2,5,44768
43,0.2,1,31576
43,0.2,2,37792
43,0.2,3,44888
43,0.2,4,40824
43,0.2,5,45416
44,0.2,1,47672
44,0.2,2,42768
44,0.2,3,36120
44,0.2,4,29400
44,0.2,5,38984
45,0.2,1,38384
45,0.2,2,40416
45,0.2,3,42040
45,0.2,4,44632
45,0.2,5,39472
46,0.2,1,50288
46,0.2,2,47784
46,0.2,3,36688
46,0.2,4,46976
46,0.2,5,37344
47,0.2,1,41616
47,0.2,2,45224
47,0.2,3,48320
47,0.2,4,46512
47,0.2,5,38848
48,0.2,1,41520
48,0.2,2,48136
48,0.2,3,35568
48,0.2,4,48360
48,0.2,5,45744
49,0.2,1,54944
49,0.2,2,44472
49,0.2,3,44536
49,0.2,4,38120
49,0.2,5,37040
50,0.2,1,39720
50,0.2,2,44872
50,0.2,3,37104
50,0.2,4,47096
50,0.2,5,46280
51,0.2,1,45576
51,0.2,2,45944
51,0.2,3,42736
51,0.2,4,46504
51,0.2,5,39920
52,0.2,1,52960
52,0.2,2,42928
52,0.2,3,53088
52,0.2,4,45520
52,0.2,5,52264
53,0.2,1,50928
53,0.2,2,46168
53,0.2,3,45504
53,0.2,4,48848
53,0.2,5,58776
54,0.2,1,47384
54,0.2,2,59152
54,0.2,3,45696
