N,P,X,Filesize
2,0.2,2,12288
2,0.2,3,12288
2,0.2,4,12288
2,0.2,5,12288
3,0.2,1,12288
3,0.2,2,12288
3,0.2,3,12288
3,0.2,4,12288
3,0.2,5,12288
4,0.2,1,12288
4,0.2,2,12288
4,0.2,3,12288
4,0.2,4,12288
4,0.2,5,12288
5,0.2,1,12288
5,0.2,2,12288
5,0.2,3,12288
5,0.2,4,12288
5,0.2,5,12288
6,0.2,1,12288
6,0.2,2,12288
6,0.2,3,12288
6,0.2,4,12288
6,0.2,5,12288
7,0.2,1,12288
7,0.2,2,12288
7,0.2,3,12288
7,0.2,4,12288
7,0.2,5,12288
8,0.2,1,12288
8,0.2,2,12288
8,0.2,3,12288
8,0.2,4,12288
8,0.2,5,12288
9,0.2,1,12288
9,0.2,2,12288
9,0.2,3,12288
9,0.2,4,12288
9,0.2,5,12288
10,0.2,1,12288
10,0.2,2,12288
10,0.2,3,12288
10,0.2,4,12288
10,0.2,5,12288
11,0.2,1,12288
11,0.2,2,12288
11,0.2,3,12288
11,0.2,4,12288
11,0.2,5,12288
12,0.2,1,12288
12,0.2,2,12288
12,0.2,3,12288
12,0.2,4,12288
12,0.2,5,12288
13,0.2,1,12288
13,0.2,2,12288
13,0.2,3,12288
13,0.2,4,12288
13,0.2,5,12288
14,0.2,1,12288
14,0.2,2,12288
14,0.2,3,12288
14,0.2,4,12288
14,0.2,5,12288
15,0.2,1,12288
15,0.2,2,12288
15,0.2,3,12288
15,0.2,4,12288
15,0.2,5,12288
16,0.2,1,12288
16,0.2,2,12288
16,0.2,3,12288
16,0.2,4,12288
16,0.2,5,12288
17,0.2,1,12288
17,0.2,2,12288
17,0.2,3,12288
17,0.2,4,12288
17,0.2,5,12288
18,0.2,1,20480
18,0.2,2,12288
18,0.2,3,12288
18,0.2,4,12288
18,0.2,5,12288
19,0.2,1,12288
19,0.2,2,12288
19,0.2,3,12288
19,0.2,4,12288
19,0.2,5,12288
20,0.2,1,12288
20,0.2,2,20480
20,0.2,3,12288
20,0.2,4,12288
20,0.2,5,12288
21,0.2,1,20480
21,0.2,2,12288
21,0.2,3,12288
21,0.2,4,12288
21,0.2,5,20480
22,0.2,1,12288
22,0.2,2,12288
22,0.2,3,12288
22,0.2,4,12288
22,0.2,5,12288
23,0.2,1,12288
23,0.2,2,12288
23,0.2,3,20480
23,0.2,4,20480
23,0.2,5,12288
24,0.2,1,20480
24,0.2,2,12288
24,0.2,3,12288
24,0.2,4,12288
24,0.2,5,20480
25,0.2,1,20480
25,0.2,2,20480
25,0.2,3,12288
25,0.2,4,20480
25,0.2,5,12288
26,0.2,1,20480
26,0.2,2,20480
26,0.2,3,20480
26,0.2,4,20480
26,0.2,5,20480
27,0.2,1,20480
27,0.2,2,20480
27,0.2,3,20480
27,0.2,4,20480
27,0.2,5,20480
28,0.2,1,20480
28,0.2,2,20480
28,0.2,3,20480
28,0.2,4,12288
28,0.2,5,20480
29,0.2,1,20480
29,0.2,2,20480
29,0.2,3,20480
29,0.2,4,20480
29,0.2,5,20480
30,0.2,1,20480
30,0.2,2,20480
30,0.2,3,20480
30,0.2,4,20480
30,0.2,5,20480
31,0.2,1,20480
31,0.2,2,20480
31,0.2,3,20480
31,0.2,4,20480
31,0.2,5,20480
32,0.2,1,20480
32,0.2,2,20480
32,0.2,3,20480
32,0.2,4,20480
32,0.2,5,20480
33,0.2,1,20480
33,0.2,2,20480
33,0.2,3,20480
33,0.2,4,20480
33,0.2,5,20480
34,0.2,1,20480
34,0.2,2,20480
34,0.2,3,20480
34,0.2,4,20480
34,0.2,5,20480
35,0.2,1,20480
35,0.2,2,20480
35,0.2,3,20480
35,0.2,4,24576
35,0.2,5,20480
36,0.2,1,20480
36,0.2,2,20480
36,0.2,3,20480
36,0.2,4,20480
36,0.2,5,20480
37,0.2,1,20480
37,0.2,2,24576
37,0.2,3,20480
37,0.2,4,20480
37,0.2,5,20480
38,0.2,1,20480
38,0.2,2,20480
38,0.2,3,24576
38,0.2,4,20480
38,0.2,5,20480
39,0.2,1,20480
39,0.2,2,20480
39,0.2,3,20480
39,0.2,4,20480
39,0.2,5,20480
40,0.2,1,20480
40,0.2,2,20480
40,0.2,3,20480
40,0.2,4,20480
40,0.2,5,20480
41,0.2,1,20480
41,0.2,2,24576
41,0.2,3,24576
41,0.2,4,24576
41,0.2,5,20480
42,0.2,1,20480
42,0.2,2,24576
42,0.2,3,20480
42,0.2,4,24576
42,0.2,5,24576
43,0.2,1,20480
43,0.2,2,24576
43,0.2,3,20480
43,0.2,4,20480
43,0.2,5,24576
44,0.2,1,24576
44,0.2,2,24576
44,0.2,3,20480
44,0.2,4,24576
44,0.2,5,24576
45,0.2,1,20480
45,0.2,2,24576
45,0.2,3,24576
45,0.2,4,20480
45,0.2,5,24576
46,0.2,1,24576
46,0.2,2,24576
46,0.2,3,24576
46,0.2,4,24576
46,0.2,5,24576
47,0.2,1,24576
47,0.2,2,24576
47,0.2,3,24576
47,0.2,4,20480
47,0.2,5,24576
48,0.2,1,24576
48,0.2,2,24576
48,0.2,3,20480
48,0.2,4,24576
48,0.2,5,20480
49,0.2,1,24576
49,0.2,2,20480
49,0.2,3,24576
49,0.2,4,24576
49,0.2,5,24576
50,0.2,1,24576
50,0.2,2,20480
50,0.2,3,24576
50,0.2,4,24576
50,0.2,5,24576
51,0.2,1,24576
51,0.2,2,24576
51,0.2,3,20480
51,0.2,4,20480
51,0.2,5,20480
52,0.2,1,24576
52,0.2,2,24576
52,0.2,3,24576
52,0.2,4,24576
52,0.2,5,24576
53,0.2,1,24576
53,0.2,2,24576
53,0.2,3,24576
53,0.2,4,24576
53,0.2,5,24576
54,0.2,1,24576
